                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.06906,                 0.6649,                0.89532,                0.49726,                      1,                0.51637,                0.51535,                 0.1528,                0.65244,                0.16822,              0.0010729,              0.0010729,              0.0010729
                     38,                0.07105,                0.66697,                0.89696,                0.49893,                      1,                0.53977,                0.53966,                0.12216,                0.63193,                0.17445,              0.0010564,              0.0010564,              0.0010564
                     39,                0.07072,                0.66011,                0.89886,                0.49815,                      1,                0.52853,                0.52849,                0.11418,                0.63395,                  0.165,              0.0010399,              0.0010399,              0.0010399
                     40,                 0.0702,                0.66621,                0.90007,                0.49877,                      1,                0.53319,                0.53313,                0.12974,                0.63498,                0.18142,              0.0010234,              0.0010234,              0.0010234
                     41,                0.06392,                0.65608,                0.89434,                0.49379,                      1,                0.52532,                0.52272,                0.12237,                 0.6385,                0.16297,              0.0010069,              0.0010069,              0.0010069
                     42,                0.06756,                 0.6646,                0.90221,                0.49647,                      1,                0.52369,                0.51706,                0.14116,                0.65385,                0.18546,             0.00099036,             0.00099036,             0.00099036
                     43,                0.06374,                0.65829,                 0.8976,                0.49919,                      1,                0.52328,                0.52249,                0.10723,                0.63793,                0.15641,             0.00097386,             0.00097386,             0.00097386
                     44,                0.06317,                0.65934,                0.89565,                0.49868,                      1,                0.53266,                0.51748,                0.14816,                0.66321,                0.16823,             0.00095736,             0.00095736,             0.00095736
                     45,                    inf,                0.65333,                0.89648,                0.49921,                      1,                0.54877,                0.54821,                0.11331,                0.61211,                0.16939,             0.00094085,             0.00094085,             0.00094085
                     46,                0.06086,                0.65936,                0.89264,                0.49669,                      1,                0.57297,                0.57199,                0.12907,                0.63385,                0.17433,             0.00092435,             0.00092435,             0.00092435
                     47,                0.05929,                0.64824,                0.89304,                0.49833,                      1,                0.57031,                0.56929,                0.12732,                0.65181,                0.16484,             0.00090785,             0.00090785,             0.00090785
                     48,                0.06032,                0.64901,                0.89325,                0.51239,                0.93217,                0.56522,                0.56499,                0.12082,                0.63666,                0.16216,             0.00089134,             0.00089134,             0.00089134
                     49,                 0.0564,                0.65286,                0.89206,                0.51516,                0.91667,                0.56664,                0.56483,                0.13022,                0.65589,                0.17268,             0.00087484,             0.00087484,             0.00087484
                     50,                0.05684,                0.65368,                0.89476,                0.51017,                0.93766,                 0.5634,                0.55587,                0.13276,                0.64219,                0.17145,             0.00085834,             0.00085834,             0.00085834
                     51,                0.05552,                0.65368,                0.89361,                0.49726,                      1,                0.54982,                0.54876,                0.12185,                0.65832,                0.15826,             0.00084184,             0.00084184,             0.00084184
                     52,                0.05442,                0.65066,                 0.8914,                0.50186,                0.99419,                0.56338,                0.56338,                0.11187,                0.63703,                0.15359,             0.00082533,             0.00082533,             0.00082533
                     53,                0.05512,                0.65407,                0.89396,                0.50157,                0.98981,                0.56333,                0.56203,                0.12164,                0.64749,                0.16312,             0.00080883,             0.00080883,             0.00080883
                     54,                    inf,                0.64781,                0.89178,                0.50878,                0.97868,                0.56749,                0.56413,                0.11877,                0.65696,                0.14031,             0.00079233,             0.00079233,             0.00079233
                     55,                0.05558,                0.64374,                0.89053,                0.50607,                0.98643,                0.56537,                0.56258,                0.13272,                0.67303,                0.15784,             0.00077582,             0.00077582,             0.00077582
                     56,                0.05261,                0.64177,                0.89507,                0.51916,                0.93023,                0.57433,                0.57251,                0.12236,                0.64205,                0.16412,             0.00075932,             0.00075932,             0.00075932
                     57,                0.04941,                0.64624,                0.88897,                0.51343,                0.90116,                0.56923,                0.56874,                0.11828,                0.65112,                0.15639,             0.00074282,             0.00074282,             0.00074282
                     58,                0.04951,                0.64105,                0.89299,                0.51461,                0.95736,                0.58545,                0.54892,                0.16688,                0.69351,                0.15599,             0.00072631,             0.00072631,             0.00072631
                     59,                0.05134,                0.64054,                0.89234,                0.51438,                0.92054,                0.57018,                  0.568,                0.12988,                0.64736,                0.16392,             0.00070981,             0.00070981,             0.00070981
                     60,                 0.0491,                0.64349,                0.89136,                0.52032,                0.90133,                0.57466,                0.57404,                0.11286,                0.67211,                0.14759,             0.00069331,             0.00069331,             0.00069331
                     61,                0.04758,                0.64576,                0.88829,                0.51875,                0.92442,                0.58049,                0.57971,                0.12587,                0.62595,                0.15741,              0.0006768,              0.0006768,              0.0006768
                     62,                0.05113,                0.64519,                0.89291,                0.51703,                0.91667,                0.55643,                0.55574,                0.13131,                0.63798,                0.16929,              0.0006603,              0.0006603,              0.0006603
                     63,                0.04625,                0.64745,                0.89323,                0.51945,                0.91473,                  0.566,                 0.5656,                0.11259,                0.62158,                0.16115,              0.0006438,              0.0006438,              0.0006438
